energy_eV,dos,integrated_dos
-16.730,0.5739E-85,0.2000E+01
-16.710,0.5739E-85,0.2000E+01
-16.690,0.5739E-85,0.2000E+01
-16.670,0.5739E-85,0.2000E+01
-16.650,0.5739E-85,0.2000E+01
-16.630,0.5739E-85,0.2000E+01
-16.610,0.5739E-85,0.2000E+01
-16.590,0.5739E-85,0.2000E+01
-16.570,0.5739E-85,0.2000E+01
-16.550,0.5739E-85,0.2000E+01
-16.530,0.5739E-85,0.2000E+01
-16.510,0.5739E-85,0.2000E+01
-16.490,0.5739E-85,0.2000E+01
-16.470,0.5739E-85,0.2000E+01
-16.450,0.5739E-85,0.2000E+01
-16.430,0.5739E-85,0.2000E+01
-16.410,0.5739E-85,0.2000E+01
-16.390,0.5739E-85,0.2000E+01
-16.370,0.5739E-85,0.2000E+01
-16.350,0.5739E-85,0.2000E+01
-16.330,0.5739E-85,0.2000E+01
-16.310,0.5739E-85,0.2000E+01
-16.290,0.5739E-85,0.2000E+01
-16.270,0.5739E-85,0.2000E+01
-16.250,0.5739E-85,0.2000E+01
-16.230,0.5739E-85,0.2000E+01
-16.210,0.5739E-85,0.2000E+01
-16.190,0.5739E-85,0.2000E+01
-16.170,0.5739E-85,0.2000E+01
-16.150,0.5739E-85,0.2000E+01
-16.130,0.5739E-85,0.2000E+01
-16.110,0.5739E-85,0.2000E+01
-16.090,0.5739E-85,0.2000E+01
-16.070,0.5739E-85,0.2000E+01
-16.050,0.5739E-85,0.2000E+01
-16.030,0.5739E-85,0.2000E+01
-16.010,0.5739E-85,0.2000E+01
-15.990,0.5739E-85,0.2000E+01
-15.970,0.5739E-85,0.2000E+01
-15.950,0.5739E-85,0.2000E+01
-15.930,0.5739E-85,0.2000E+01
-15.910,0.5739E-85,0.2000E+01
-15.890,0.5739E-85,0.2000E+01
-15.870,0.5739E-85,0.2000E+01
-15.850,0.5739E-85,0.2000E+01
-15.830,0.5739E-85,0.2000E+01
-15.810,0.5739E-85,0.2000E+01
-15.790,0.5739E-85,0.2000E+01
-15.770,0.5739E-85,0.2000E+01
-15.750,0.5739E-85,0.2000E+01
-15.730,0.5739E-85,0.2000E+01
-15.710,0.5739E-85,0.2000E+01
-15.690,0.5739E-85,0.2000E+01
-15.670,0.5739E-85,0.2000E+01
-15.650,0.5739E-85,0.2000E+01
-15.630,0.5739E-85,0.2000E+01
-15.610,0.5739E-85,0.2000E+01
-15.590,0.5739E-85,0.2000E+01
-15.570,0.5739E-85,0.2000E+01
-15.550,0.5739E-85,0.2000E+01
-15.530,0.5739E-85,0.2000E+01
-15.510,0.5739E-85,0.2000E+01
-15.490,0.5739E-85,0.2000E+01
-15.470,0.5739E-85,0.2000E+01
-15.450,0.5739E-85,0.2000E+01
-15.430,0.5739E-85,0.2000E+01
-15.410,0.5739E-85,0.2000E+01
-15.390,0.5739E-85,0.2000E+01
-15.370,0.5739E-85,0.2000E+01
-15.350,0.5739E-85,0.2000E+01
-15.330,0.5739E-85,0.2000E+01
-15.310,0.5739E-85,0.2000E+01
-15.290,0.5739E-85,0.2000E+01
-15.270,0.5739E-85,0.2000E+01
-15.250,0.5739E-85,0.2000E+01
-15.230,0.5739E-85,0.2000E+01
-15.210,0.5739E-85,0.2000E+01
-15.190,0.5739E-85,0.2000E+01
-15.170,0.5739E-85,0.2000E+01
-15.150,0.5739E-85,0.2000E+01
-15.130,0.5739E-85,0.2000E+01
-15.110,0.5739E-85,0.2000E+01
-15.090,0.5739E-85,0.2000E+01
-15.070,0.6076E-85,0.2000E+01
-15.050,0.1639E-84,0.2000E+01
-15.030,0.9724E-84,0.2000E+01
-15.010,0.7246E-83,0.2000E+01
-14.990,0.5540E-82,0.2000E+01
-14.970,0.4210E-81,0.2000E+01
-14.950,0.3167E-80,0.2000E+01
-14.930,0.2357E-79,0.2000E+01
-14.910,0.1735E-78,0.2000E+01
-14.890,0.1264E-77,0.2000E+01
-14.870,0.9105E-77,0.2000E+01
-14.850,0.6490E-76,0.2000E+01
-14.830,0.4576E-75,0.2000E+01
-14.810,0.3192E-74,0.2000E+01
-14.790,0.2202E-73,0.2000E+01
-14.770,0.1503E-72,0.2000E+01
-14.750,0.1015E-71,0.2000E+01
-14.730,0.6782E-71,0.2000E+01
-14.710,0.4482E-70,0.2000E+01
-14.690,0.2930E-69,0.2000E+01
-14.670,0.1895E-68,0.2000E+01
-14.650,0.1212E-67,0.2000E+01
-14.630,0.7672E-67,0.2000E+01
-14.610,0.4803E-66,0.2000E+01
-14.590,0.2975E-65,0.2000E+01
-14.570,0.1823E-64,0.2000E+01
-14.550,0.1105E-63,0.2000E+01
-14.530,0.6625E-63,0.2000E+01
-14.510,0.3930E-62,0.2000E+01
-14.490,0.2306E-61,0.2000E+01
-14.470,0.1339E-60,0.2000E+01
-14.450,0.7687E-60,0.2000E+01
-14.430,0.4367E-59,0.2000E+01
-14.410,0.2454E-58,0.2000E+01
-14.390,0.1364E-57,0.2000E+01
-14.370,0.7504E-57,0.2000E+01
-14.350,0.4083E-56,0.2000E+01
-14.330,0.2197E-55,0.2000E+01
-14.310,0.1170E-54,0.2000E+01
-14.290,0.6162E-54,0.2000E+01
-14.270,0.3211E-53,0.2000E+01
-14.250,0.1655E-52,0.2000E+01
-14.230,0.8439E-52,0.2000E+01
-14.210,0.4257E-51,0.2000E+01
-14.190,0.2124E-50,0.2000E+01
-14.170,0.1049E-49,0.2000E+01
-14.150,0.5121E-49,0.2000E+01
-14.130,0.2474E-48,0.2000E+01
-14.110,0.1182E-47,0.2000E+01
-14.090,0.5590E-47,0.2000E+01
-14.070,0.2615E-46,0.2000E+01
-14.050,0.1210E-45,0.2000E+01
-14.030,0.5537E-45,0.2000E+01
-14.010,0.2507E-44,0.2000E+01
-13.990,0.1123E-43,0.2000E+01
-13.970,0.4976E-43,0.2000E+01
-13.950,0.2181E-42,0.2000E+01
-13.930,0.9458E-42,0.2000E+01
-13.910,0.4057E-41,0.2000E+01
-13.890,0.1722E-40,0.2000E+01
-13.870,0.7228E-40,0.2000E+01
-13.850,0.3002E-39,0.2000E+01
-13.830,0.1233E-38,0.2000E+01
-13.810,0.5012E-38,0.2000E+01
-13.790,0.2015E-37,0.2000E+01
-13.770,0.8015E-37,0.2000E+01
-13.750,0.3154E-36,0.2000E+01
-13.730,0.1227E-35,0.2000E+01
-13.710,0.4726E-35,0.2000E+01
-13.690,0.1800E-34,0.2000E+01
-13.670,0.6784E-34,0.2000E+01
-13.650,0.2529E-33,0.2000E+01
-13.630,0.9325E-33,0.2000E+01
-13.610,0.3402E-32,0.2000E+01
-13.590,0.1228E-31,0.2000E+01
-13.570,0.4383E-31,0.2000E+01
-13.550,0.1548E-30,0.2000E+01
-13.530,0.5408E-30,0.2000E+01
-13.510,0.1869E-29,0.2000E+01
-13.490,0.6391E-29,0.2000E+01
-13.470,0.2162E-28,0.2000E+01
-13.450,0.7233E-28,0.2000E+01
-13.430,0.2394E-27,0.2000E+01
-13.410,0.7839E-27,0.2000E+01
-13.390,0.2539E-26,0.2000E+01
-13.370,0.8137E-26,0.2000E+01
-13.350,0.2580E-25,0.2000E+01
-13.330,0.8090E-25,0.2000E+01
-13.310,0.2510E-24,0.2000E+01
-13.290,0.7702E-24,0.2000E+01
-13.270,0.2338E-23,0.2000E+01
-13.250,0.7023E-23,0.2000E+01
-13.230,0.2087E-22,0.2000E+01
-13.210,0.6133E-22,0.2000E+01
-13.190,0.1783E-21,0.2000E+01
-13.170,0.5129E-21,0.2000E+01
-13.150,0.1459E-20,0.2000E+01
-13.130,0.4108E-20,0.2000E+01
-13.110,0.1144E-19,0.2000E+01
-13.090,0.3151E-19,0.2000E+01
-13.070,0.8588E-19,0.2000E+01
-13.050,0.2315E-18,0.2000E+01
-13.030,0.6174E-18,0.2000E+01
-13.010,0.1629E-17,0.2000E+01
